product_id,sku,name,category_mn,category_code,gender,season,age_min_years,age_max_years,size_label,height_min_cm,height_max_cm,weight_min_kg,weight_max_kg,color,brand,material,price_mnt,stock_qty,stock_status,description_mn
1,KID-OUT-152-0001,HappyCloud куртик 152,куртик,outerwear,unisex,зун,13,14,152,153.6,158.4,40.0,55.0,голт бор,HappyCloud,ус нэвтэрдэггүй даавуу,114500,14,байгаа,голт бор өнгийн unisex хүүхдийн куртик
2,KID-TOP-74-0002,MongolKids цамц 74,цамц,top,хүү,all-season,1,2.84,74,72.8,78.9,8.0,10.5,индиго,MongolKids,ноосон холимог,32400,19,байгаа,индиго өнгийн хүү хүүхдийн цамц
3,KID-TOP-128-0003,BabyStar цамц 128,цамц,top,хүү,намар,9,10.5,128,129.5,133.9,27.9,36.0,ногоон,BabyStar,ус нэвтэрдэггүй даавуу,25900,15,байгаа,ногоон өнгийн хүү хүүхдийн цамц
4,KID-PAN-56-0004,Mothercare өмд 56,өмд,pants,unisex,өвөл,0,0.58,56,50.4,58.9,2.6,4.8,улбар шар,Mothercare,ус нэвтэрдэггүй даавуу,30400,8,байгаа,улбар шар өнгийн unisex хүүхдийн өмд – дулаан доторлогоотой
5,KID-BOD-116-0005,RainbowCub onesie 116,onesie,bodysuit,охин,зун,6,8.07,116,116.0,121.4,22.4,27.5,цамрай ягаан,RainbowCub,хөвөн + полиэстер,24600,23,байгаа,цамрай ягаан өнгийн охин хүүхдийн onesie
6,KID-OUT-116-0006,GAP Kids куртик 116,куртик,outerwear,охин,хавар,7,8.29,116,118.0,122.9,21.6,28.1,далайн цэнхэр,GAP Kids,хөвөн + полиэстер,114100,10,байгаа,далайн цэнхэр өнгийн охин хүүхдийн куртик – өдөр тутмын эдэлгээ даахуйц
7,KID-BOD-68-0007,NomadBaby onesie 68,onesie,bodysuit,хүү,all-season,0.3,0.92,68,66.2,72.1,6.1,9.1,ягаан,NomadBaby,100% хөвөн,26300,18,байгаа,ягаан өнгийн хүү хүүхдийн onesie – өдөр тутмын эдэлгээ даахуйц
8,KID-DRE-116-0008,TinyBear даашинз 116,даашинз,dress,unisex,намар,7,8.55,116,116.5,122.6,21.6,27.5,голт бор,TinyBear,ноосон холимог,39200,6,байгаа,голт бор өнгийн unisex хүүхдийн даашинз – өдөр тутмын эдэлгээ даахуйц
9,KID-DRE-104-0009,RainbowCub даашинз 104,даашинз,dress,хүү,зун,5,5.58,104,104.4,110.7,17.5,20.8,цагаан,RainbowCub,ноосон холимог,44500,24,байгаа,цагаан өнгийн хүү хүүхдийн даашинз – өдөр тутмын эдэлгээ даахуйц
10,KID-SKI-110-0010,TinyBear юбка 110,юбка,skirt,unisex,хавар,6,7.58,110,110.1,115.2,19.1,23.7,шар,TinyBear,ус нэвтэрдэггүй даавуу,24400,26,байгаа,шар өнгийн unisex хүүхдийн юбка – өдөр тутмын эдэлгээ даахуйц
